기준연도,시도코드,시도명,대학구분명,대학교명,본분교구분명,설립형태구분명,평균입학금액,평균등록금액,데이터기준일자,제공기관코드,제공기관명
2023,41,경기도,대학,가톨릭대학교,본교,사립,0,7071831.5,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,일반대학원,한국외국어대학교,본교,사립,1070000,9520920.6,2023-10-31,B552529,한국장학재단
2023,26,부산광역시,전문대학,한국폴리텍 VII 대학 부산캠퍼스,본교,사립,0,2432000,2023-10-31,B552529,한국장학재단
2023,31,울산광역시,전문대학,한국폴리텍 VII 대학 울산캠퍼스,본교,사립,0,2432000,2023-10-31,B552529,한국장학재단
2023,44,충청남도,대학,남서울대학교,본교,사립,0,7924048.8,2023-10-31,B552529,한국장학재단
2023,30,대전광역시,대학,한밭대학교,본교,국립,0,4471033.8,2023-10-31,B552529,한국장학재단
2023,47,경상북도,대학,경운대학교,본교,사립,0,7714151.2,2023-10-31,B552529,한국장학재단
2023,41,경기도,대학,한국공학대학교,본교,사립,0,9034615.9,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,대학,서울과학기술대학교,본교,국립,0,5465375.3,2023-10-31,B552529,한국장학재단
2023,41,경기도,대학,한경대학교,본교,국립,0,4037828.1,2023-10-31,B552529,한국장학재단
2023,46,전라남도,대학,초당대학교,본교,사립,0,6665781.3,2023-10-31,B552529,한국장학재단
2023,30,대전광역시,원격대학,건양사이버대학교,본교,사립,0,2461079.5,2023-10-31,B552529,한국장학재단
2023,50,제주특별자치도,대학,제주국제대학교,본교,사립,0,5837837.8,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,전문대학,정화예술대학교,제2캠퍼,사립,0,8500388,2023-10-31,B552529,한국장학재단
2023,51,강원특별자치도,대학,경동대학교,제3캠퍼,사립,0,8590332,2023-10-31,B552529,한국장학재단
2023,48,경상남도,대학,창신대학교,본교,사립,0,6406668.3,2023-10-31,B552529,한국장학재단
2023,47,경상북도,전문대학,한국폴리텍 VI 대학 영주캠퍼스,본교,사립,0,2164000,2023-10-31,B552529,한국장학재단
2023,41,경기도,대학,신한대학교,본교,사립,0,9163632.4,2023-10-31,B552529,한국장학재단
2023,44,충청남도,대학,단국대학교,제2캠퍼,사립,0,8222972.5,2023-10-31,B552529,한국장학재단
2023,41,경기도,대학,경동대학교,제4캠퍼,사립,0,7946990.5,2023-10-31,B552529,한국장학재단
2023,44,충청남도,대학,한국전통문화대학교(일반),본교,국립,0,3268785.7,2023-10-31,B552529,한국장학재단
